Identifiant,City,Post_Code,Address,Sales_Date,House_Type,Price,Number_of_Rooms,House_Inside_Area,Population,Population_Density(km2),Altitude_min(m),Avg_Temperature,Number_of_Schools,Number_of_Hospital,Region_Area(km2),Precipitation,Avg_Monthly_Salary,Avg_Age
2020-118544,Huez,38750,42 IMP FONTAINE DU CORBEAU,30/06/2020,Appartement,127960,2,22,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-118543,Huez,38750,42 IMP FONTAINE DU CORBEAU,30/06/2020,Appartement,58920,1,17,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-118452,Huez,38750,5571 RES LES BALCONS DE LA SAGNE,29/06/2020,Appartement,69000,1,24,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-118495,Huez,38750,636 RUE 93 EME RAM,26/06/2020,Appartement,95655,1,22,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-118505,Huez,38750,635 RUE 93 EME RAM,24/06/2020,Appartement,100000,2,24,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-118375,Huez,38750,503 RUE DES PASSEAUX,23/06/2020,Appartement,105000,2,24,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-118486,Huez,38750,236 RTE DE L ALTIPORT,19/06/2020,Appartement,135000,2,24,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-118515,Huez,38750,503 RUE DES PASSEAUX,17/06/2020,Appartement,100000,2,22,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-118477,Huez,38750, COULLET,16/06/2020,Terrain,15000,0,0,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-118331,Huez,38750,5217 CHE DE LA CHAPELLE,05/06/2020,Appartement,150000,2,35,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-118226,Huez,38750,5528 RES MAONA VILLAGE,05/06/2020,Appartement,123000,2,37,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-118306,Huez,38750,168 PROM CLOTAIRE COLLOMB,29/05/2020,Appartement,124250,1,24,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-118241,Huez,38750,5418 RES MAJESTIC,29/05/2020,Appartement,57000,1,19,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-118175,Huez,38750,462 RUE DES PASSEAUX,28/05/2020,Appartement,102500,1,18,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-118319,Huez,38750,5586 RES LE BEL ALPE,27/05/2020,Appartement,121000,2,24,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-118205,Huez,38750,42 IMP FONTAINE DU CORBEAU,26/05/2020,Appartement,66045,1,17,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-118100,Huez,38750,5591 RES LES TERRASSES D HUEZ,18/05/2020,Appartement,141750,1,29,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-118151,Huez,38750,96 RUE DU RIF BRIANT,13/05/2020,Appartement,115000,2,28,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-118272,Huez,38750, LES MOULINS,13/05/2020,Terrain,5265,0,0,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-118081,Huez,38750,5570 RES LE KIRLYS,07/05/2020,Appartement,295000,2,43,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-118002,Huez,38750, RES L OURS BLANC,05/05/2020,Appartement,92108,1,21,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-118004,Huez,38750,5253 RES LE SIGNAL,30/04/2020,Appartement,118262,2,36,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-117949,Huez,38750,62 IMP FONTAINE DU CORBEAU,30/04/2020,Appartement,100500,2,23,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-117957,Huez,38750,50 RUE DU MAQUIS DE L OISANS,28/04/2020,Appartement,277500,2,46,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-117995,Huez,38750, RES L OURS BLANC,27/04/2020,Appartement,152500,2,28,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-117985,Huez,38750,139 PROM CLOTAIRE COLLOMB,27/04/2020,Appartement,280650,1,35,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-117993,Huez,38750,42 IMP FONTAINE DU CORBEAU,27/04/2020,Appartement,109700,1,21,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-117924,Huez,38750,50 RUE DU MAQUIS DE L OISANS,20/04/2020,Appartement,237520,1,31,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-117929,Huez,38750,5 RUE DES SAGNES,14/04/2020,Maison,708900,6,120,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-118039,Huez,38750,503 RUE DES PASSEAUX,03/04/2020,Appartement,83000,2,22,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-117835,Huez,38750,5528 RES MAONA VILLAGE,10/03/2020,Appartement,68000,1,22,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-117829,Huez,38750,5418 RES MAJESTIC,05/03/2020,Appartement,420000,2,57,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-117847,Huez,38750,5129 RES LES ECRINS,29/02/2020,Appartement,341050,3,70,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-117697,Huez,38750,5611 RES LES QUATRE SOLEILS,25/02/2020,Appartement,422000,2,30,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-117600,Huez,38750,503 RUE DES PASSEAUX,14/02/2020,Appartement,77500,2,22,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-117778,Huez,38750,275 RUE DU MAQUIS DE L OISANS,13/02/2020,Appartement,194800,1,30,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-117641,Huez,38750, STATION DE L ALPE D HUEZ,10/02/2020,Terrain,1100000,0,0,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-117555,Huez,38750, RES L OURS BLANC,07/02/2020,Appartement,161000,2,37,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-117530,Huez,38750,5570 RES LE KIRLYS,04/02/2020,Appartement,159000,1,25,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-117538,Huez,38750,5586 RES LE BEL ALPE,04/02/2020,Appartement,79000,1,17,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-117421,Huez,38750,5528 RES MAONA VILLAGE,31/01/2020,Appartement,96000,2,28,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-117585,Huez,38750,275 RUE DU MAQUIS DE L OISANS,31/01/2020,Appartement,330000,2,50,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-117586,Huez,38750,635 RUE 93 EME RAM,31/01/2020,Appartement,144170,2,25,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-117406,Huez,38750,5571 RES LES BALCONS DE LA SAGNE,30/01/2020,Appartement,169500,2,39,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-117667,Huez,38750,635 RUE 93 EME RAM,30/01/2020,Appartement,83509,2,22,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-117446,Huez,38750, RES L OURS BLANC,27/01/2020,Appartement,111900,2,26,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-117677,Huez,38750, HAMEAU DU RIBAUD,27/01/2020,Terrain,50000,0,0,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-117500,Huez,38750,5255 RES LE PANORAMIC,23/01/2020,Appartement,510000,4,72,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-117416,Huez,38750,314 RUE DU MAQUIS DE L OISANS,20/01/2020,Appartement,169000,2,30,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-117379,Huez,38750,563 RUE 93 EME RAM,17/01/2020,Appartement,145000,1,25,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-117358,Huez,38750,462 RUE DES PASSEAUX,17/01/2020,Appartement,101000,2,26,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-117519,Huez,38750,5586 RES LE BEL ALPE,14/01/2020,Appartement,138000,2,33,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-117362,Huez,38750,236 RTE DE L ALTIPORT,09/01/2020,Appartement,212700,2,35,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-117313,Huez,38750, RES L OURS BLANC,07/01/2020,Appartement,100500,1,21,1303,93,1250,10,1,1,1,1394,2512,38.8
2020-313585,Avallon,89200,22 RUE JOHN KENNEDY,19/06/2020,Maison,81000,3,76,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313662,Avallon,89200,12 RTE DE CHASSIGNY,16/06/2020,Maison,112000,3,85,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313650,Avallon,89200,1 RTE DE CHAMPIEN,15/06/2020,Maison,279500,9,245,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313627,Avallon,89200,6B RUE DE LA GOULOTTE,11/06/2020,Maison,259500,5,140,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313667,Avallon,89200,6 RLE TOUR DU MAGASIN,10/06/2020,Maison,110000,5,104,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313569,Avallon,89200, LA GRANDE CORVEE,08/06/2020,Terrain,44758,0,0,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313533,Avallon,89200,3 IMP DE LA FOUDRE,29/05/2020,Maison,35000,2,55,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313574,Avallon,89200,8 RUE DE LA VACHERE,29/05/2020,Appartement,65000,1,19,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313575,Avallon,89200,20 RTE COUSIN LE PONT,28/05/2020,Appartement,28000,1,23,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313513,Avallon,89200,18 RUE DE PARIS,28/05/2020,Appartement,137000,4,98,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313560,Avallon,89200,15 RTE DE SAUVIGNY,27/05/2020,Appartement,90000,1,14,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313567,Avallon,89200,2B AV PRESIDENT DOUMER,25/05/2020,Maison,168000,4,101,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313532,Avallon,89200,13 AV DU PARC DES CHAUMES,20/05/2020,Appartement,109000,4,84,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313545,Avallon,89200,8 RUE DES BRUYERES,16/05/2020,Maison,145000,5,95,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313497,Avallon,89200,1 AV PIERRE VIGOUREUX,15/05/2020,Maison,160260,5,84,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313465,Avallon,89200,18 RUE DE PARIS,12/05/2020,Appartement,133000,4,97,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313482,Avallon,89200,14 AV DU 11 NOVEMBRE,30/04/2020,Maison,155000,3,60,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313446,Avallon,89200, LA PETITE CORVEE,29/04/2020,Terrain,345114,0,0,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313450,Avallon,89200,79 RUE DE LYON,28/04/2020,Maison,22000,5,57,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313428,Avallon,89200,17 RUE PASTEUR,21/04/2020,Appartement,53000,6,170,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313435,Avallon,89200,3 AV DU PARC DES CHAUMES,16/04/2020,Appartement,18000,1,27,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313447,Avallon,89200, QUARTIER SAINT MARTIN,15/04/2020,Terrain,4000,0,0,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313425,Avallon,89200,20 RTE COUSIN LE PONT,09/04/2020,Appartement,79900,4,78,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313393,Avallon,89200,11 PL DU GENERAL DE GAULLE,20/03/2020,Maison,230000,1,20,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313374,Avallon,89200,9 RTE DE LYON,19/03/2020,Maison,107000,4,118,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313410,Avallon,89200,2T RUE BEURDELAINE,16/03/2020,Maison,345000,5,100,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313354,Avallon,89200,16B RTE DE SAUVIGNY,16/03/2020,Maison,150000,5,113,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313348,Avallon,89200,5 RUE DU MARECHAL FOCH,14/03/2020,Appartement,230000,5,139,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313351,Avallon,89200,13 RUE DU BEL AIR,14/03/2020,Appartement,114336,3,33,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313402,Avallon,89200,51 GDE RUE ARISTIDE BRIAND,13/03/2020,Appartement,170000,4,100,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313347,Avallon,89200,35 AV DE LA MORLANDE,10/03/2020,Maison,105000,5,81,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313279,Avallon,89200,6 RUE DES MERCIERS,25/02/2020,Maison,130000,3,72,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313342,Avallon,89200, COUSIN LA ROCHE,25/02/2020,Terrain,1000,0,0,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313270,Avallon,89200,5 CHE ST NICOLAS,21/02/2020,Maison,110000,4,102,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313278,Avallon,89200,5 PARC DES CHAUMES,18/02/2020,Maison,138000,2,59,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313285,Avallon,89200, GDE RUE ARISTIDE BRIAND,13/02/2020,Appartement,53000,2,80,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313236,Avallon,89200,19 ALL DU BOIS GARGAN,04/02/2020,Maison,135000,4,82,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313226,Avallon,89200, COUSIN LE PONT,27/01/2020,Terrain,5800,0,0,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313264,Avallon,89200,8 RUE DU MARECHAL DAVOUST,24/01/2020,Appartement,110000,2,50,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313176,Avallon,89200, COUSIN LA ROCHE,23/01/2020,Terrain,400,0,0,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313173,Avallon,89200,1 RUE DU FORT MAHON,16/01/2020,Maison,22000,4,84,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-313150,Avallon,89200,29 RUE DE LA GOULOTTE,11/01/2020,Maison,71000,3,67,6513,1300,163,10.75,12,2,26.75,983,2071,45
2020-114681,Loches,37600,24B AV ARISTIDE BRIAND,23/06/2020,Appartement,97000,3,66,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114607,Loches,37600,61 RUE QUINTEFOL,16/06/2020,Maison,45000,3,47,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114639,Loches,37600, LES BOURNAIS,15/06/2020,Terrain,260000,0,0,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114668,Loches,37600,25 RUE SAINT JACQUES,15/06/2020,Maison,125000,4,123,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114658,Loches,37600, LE ROCARD,15/06/2020,Terrain,16500,0,0,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114667,Loches,37600, BEL-EBAT,15/06/2020,Terrain,1500,0,0,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114665,Loches,37600,20 RUE JEAN BOUCHER,10/06/2020,Maison,169000,4,82,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114585,Loches,37600,24B AV ARISTIDE BRIAND,09/06/2020,Appartement,74000,2,48,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114669,Loches,37600,1 PL DU MARCHE AUX LEGUMES,05/06/2020,Appartement,251100,5,82,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114657,Loches,37600,30 RUE DE LA CROIX BREZIL,04/06/2020,Maison,90000,3,85,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114584,Loches,37600,9 RUE PORTE POITEVINE,02/06/2020,Maison,120000,3,74,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114571,Loches,37600,32B RUE DU BOUT DU PAVE,02/06/2020,Maison,135000,4,94,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114599,Loches,37600,4 RUE BOURDILLET,29/05/2020,Maison,35093,3,65,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114582,Loches,37600,47A RUE QUINTEFOL,19/05/2020,Maison,104500,4,105,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114548,Loches,37600,24 RUE DE PUYGIBAULT,18/05/2020,Maison,260000,6,148,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114496,Loches,37600, LES RABINES,27/04/2020,Terrain,28500,0,0,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114445,Loches,37600,5 RUE DES LILAS,17/04/2020,Maison,130000,3,76,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114420,Loches,37600,17 RUE SAINT JACQUES,16/04/2020,Maison,73000,3,70,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114423,Loches,37600, MARIAUDE,16/04/2020,Terrain,5000,0,0,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114439,Loches,37600,6 RUE THOMAS PACTIUS,15/04/2020,Maison,158000,4,160,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114438,Loches,37600,2 RUE DES URSULINES,10/04/2020,Maison,250000,7,133,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114452,Loches,37600,8 RUE SAINT OURS,10/04/2020,Appartement,374000,4,116,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114396,Loches,37600,25 RUE BOURDILLET,16/03/2020,Maison,75000,3,96,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114397,Loches,37600,25 AV LOUIS XI,12/03/2020,Maison,109000,2,45,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114404,Loches,37600,3 RUE DES PREBANDES,12/03/2020,Maison,199500,4,94,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114344,Loches,37600,27 RUE DES LYS,04/03/2020,Maison,87500,4,71,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114374,Loches,37600,7 RUE LAMBLARDIE,02/03/2020,Maison,163000,5,129,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114327,Loches,37600,18 RUE DU CHATEAU,27/02/2020,Maison,230000,12,219,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114305,Loches,37600,3 RUE DESCARTES,21/02/2020,Appartement,330167,0,20,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114269,Loches,37600,24B AV ARISTIDE BRIAND,19/02/2020,Appartement,70000,2,55,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114236,Loches,37600,24B AV ARISTIDE BRIAND,14/02/2020,Appartement,62000,2,48,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114300,Loches,37600, LES RABINES,14/02/2020,Terrain,28800,0,0,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114299,Loches,37600,8 RUE ROCHE APPERT,13/02/2020,Maison,10000,3,75,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114275,Loches,37600,2 RUE PASQUIER BOURRAY,11/02/2020,Maison,193000,5,126,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114287,Loches,37600,24B AV ARISTIDE BRIAND,07/02/2020,Maison,115000,3,70,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114241,Loches,37600,24B AV ARISTIDE BRIAND,06/02/2020,Appartement,82500,3,55,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114248,Loches,37600,84 RUE QUINTEFOL,05/02/2020,Appartement,130000,2,47,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114213,Loches,37600,10 RUE PICOIS,05/02/2020,Maison,165000,3,85,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114225,Loches,37600,24B AV ARISTIDE BRIAND,03/02/2020,Appartement,63000,2,48,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114201,Loches,37600,8 RUE DES PONTS,30/01/2020,Appartement,310000,3,59,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114259,Loches,37600, LA GARE,30/01/2020,Terrain,185000,0,0,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114205,Loches,37600,51 RUE VICTOR HUGO,30/01/2020,Maison,35000,5,95,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114218,Loches,37600,3 RUE DU COTILLON BLANC,24/01/2020,Maison,35000,1,26,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114187,Loches,37600, VAUCHIGNARD,14/01/2020,Terrain,7000,0,0,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114139,Loches,37600,8 IMP DU COTEAU DU ROI,13/01/2020,Maison,120000,4,84,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114169,Loches,37600, AV DU GENERAL DE GAULLE,10/01/2020,Terrain,42000,0,0,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-114167,Loches,37600,10 RUE GUY MARIE OURY,09/01/2020,Maison,258000,6,158,6232,229.4,64,11.95833333,11,3,27.06,745,2155,48.86
2020-285291,Montauban,82000,7 RUE DU DOCTEUR LABAT,29/06/2020,Appartement,17000,1,24,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285290,Montauban,82000,14 RUE COURBET,29/06/2020,Maison,330700,5,136,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285293,Montauban,82000,14 RUE FOURCHUE,26/06/2020,Appartement,69700,2,45,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285252,Montauban,82000,16 GR GRAND RUE VILLENOUVELLE,26/06/2020,Appartement,245950,2,55,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285160,Montauban,82000,15 AV DU 11 EME REGIMENT INF,24/06/2020,Appartement,73500,3,52,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285151,Montauban,82000,14 RUE PASTEUR,22/06/2020,Maison,315000,7,148,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285282,Montauban,82000,21 AV GAMBETTA,22/06/2020,Appartement,240000,3,106,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285254,Montauban,82000,200 RUE JEAN URSULE DEVALS,19/06/2020,Appartement,95000,3,65,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285253,Montauban,82000,2 RUE DU PRE,16/06/2020,Appartement,100725,3,67,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285218,Montauban,82000,19 RUE JEAN MACE,11/06/2020,Maison,194000,5,110,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285075,Montauban,82000,8 RUE FREDERIC MISTRAL,10/06/2020,Maison,240000,6,160,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285158,Montauban,82000,171 BD BLAISE DOUMERC,05/06/2020,Appartement,104000,3,61,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285171,Montauban,82000,37 RUE DE LA BANQUE,04/06/2020,Maison,542000,6,172,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285163,Montauban,82000,19 RUE DE LA FOBIO,03/06/2020,Appartement,115000,4,84,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285147,Montauban,82000,110 BD BLAISE DOUMERC,29/05/2020,Appartement,61500,2,41,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285108,Montauban,82000,38 AV GAMBETTA,29/05/2020,Appartement,195000,4,91,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285141,Montauban,82000,58 AV DU 11 EME REGIMENT INF,29/05/2020,Maison,160000,6,149,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285134,Montauban,82000,430 BD ALSACE LORRAINE,29/05/2020,Appartement,76500,3,70,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285124,Montauban,82000,36 RUE DES DOREURS,29/05/2020,Maison,123500,3,60,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285178,Montauban,82000,8 RUE JEAN CARMET,29/05/2020,Appartement,130000,3,71,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285112,Montauban,82000,31 RUE DELCASSE,28/05/2020,Maison,129800,5,124,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285110,Montauban,82000,92 RUE LEON CLADEL,28/05/2020,Appartement,350000,2,30,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285113,Montauban,82000,18 RUE JEAN MACE,26/05/2020,Maison,188000,5,103,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285054,Montauban,82000,67B AV MARCEAU HAMECHER,25/05/2020,Maison,257050,8,266,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285082,Montauban,82000,21 RUE LEON CLADEL,22/05/2020,Appartement,81000,2,54,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285111,Montauban,82000,27 RUE LASSUS,22/05/2020,Appartement,110305,2,74,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285049,Montauban,82000,71 RUE LEON CLADEL,20/05/2020,Maison,88000,3,104,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285048,Montauban,82000,4 RUE ARMAND CAMBON,19/05/2020,Appartement,145500,2,56,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285037,Montauban,82000,16 RUE DE LA COMEDIE,19/05/2020,Appartement,85000,2,46,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285072,Montauban,82000,270 AV DE BORDEAUX,18/05/2020,Appartement,160000,3,100,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285070,Montauban,82000,19 RUE BARBAZAN,14/05/2020,Appartement,94500,2,46,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285052,Montauban,82000,6 RUE DES LISERONS,14/05/2020,Appartement,88900,3,55,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285092,Montauban,82000,66 AV GAMBETTA,13/05/2020,Appartement,84000,4,68,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285050,Montauban,82000,7 RUE JOLIOT CURIE,13/05/2020,Maison,170000,5,106,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285040,Montauban,82000,27 RUE DELACROIX,11/05/2020,Appartement,86000,4,72,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285015,Montauban,82000,10 RUE DU MARECHAL GALLIENI,05/05/2020,Maison,183100,5,117,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-285018,Montauban,82000,17 RUE GASTON CELARIE,04/05/2020,Appartement,35000,2,43,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-284988,Montauban,82000,20 RUE ALPHONSE DE LAMARTINE,23/04/2020,Maison,165000,4,82,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-284979,Montauban,82000,6 ESP DES FONTAINES,22/04/2020,Appartement,77000,2,51,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-284884,Montauban,82000,8 RUE FRAICHE,15/04/2020,Appartement,108000,3,88,60952,451,72,13.8,57,9,13517,749,2282,41.8
2020-284967,Montauban,82000,28 RUE DU GENIE,09/04/2020,Maison,200000,4,103,60952,451,72,13.8,57,9,13517,749,2282,41.8
